RI-HEAP release dynamic-usage=412324032
RI-BOOK books/bp-fnbs-conflict-invariants.lisp fns=0 thms=11 reached=0
RI-BOOK books/bp-fnbs-dispatch-invariants.lisp fns=0 thms=14 reached=0
RI-BOOK books/bp-node-forward-lower-guards.lisp fns=0 thms=0 reached=0
RI-BOOK books/bp-report-guards.lisp fns=0 thms=0 reached=0
RI-BOOK books/bp-report-observe.lisp fns=4 thms=1 reached=4
RI-BOOK books/bp-node-fragment-guards.lisp fns=0 thms=0 reached=0
RI-BOOK books/bp-fnbs-conflict-publication.lisp fns=6 thms=1 reached=6
RI-BOOK books/bp-fnbs-deletion-publication.lisp fns=5 thms=1 reached=5
RI-BOOK books/bp-node-job-offer.lisp fns=25 thms=51 reached=16
RI-BOOK books/bp-node-contact-driver.lisp fns=3 thms=5 reached=0
RI-BOOK books/bp-route-jobs.lisp fns=3 thms=2 reached=3
RI-BOOK books/bp-node-receipt-send.lisp fns=1 thms=4 reached=1
RI-BOOK books/bp-node-progress-bridge.lisp fns=1 thms=4 reached=0
RI-BOOK books/bp-node-machine-authorization.lisp fns=4 thms=30 reached=0
RI-BOOK books/bp-node-progress-premises.lisp fns=3 thms=10 reached=0
RI-BOOK books/bp-fnbs-forward-publication.lisp fns=6 thms=0 reached=6
RI-BOOK books/bp-fnbs-dispatch-publication.lisp fns=5 thms=0 reached=5
RI-BOOK books/bp-node-progress.lisp fns=100 thms=0 reached=98
RI-BOOK books/bp-node-rotation-codec.lisp fns=28 thms=5 reached=28
RI-BOOK books/bp-node-debt.lisp fns=17 thms=2 reached=16
RI-BOOK books/bp-node-receive-boundary.lisp fns=8 thms=1 reached=8
RI-BOOK books/bp-node-machine-guards.lisp fns=0 thms=3 reached=0
RI-BOOK books/bp-node-machine-invariants.lisp fns=1 thms=83 reached=1
RI-BOOK books/bp-fnbs-namespace.lisp fns=15 thms=0 reached=15
RI-BOOK books/bp-report-author.lisp fns=4 thms=1 reached=4
RI-BOOK books/bp-report-outbox.lisp fns=5 thms=1 reached=5
RI-BOOK books/bp-node-report-step.lisp fns=4 thms=2 reached=4
RI-BOOK books/bp-fnbs-family-publication.lisp fns=5 thms=1 reached=5
RI-BOOK books/bp-node-fragment-step.lisp fns=17 thms=22 reached=12
RI-BOOK books/bp-fnbs-family-replay.lisp fns=5 thms=1 reached=4
RI-BOOK books/bp-fnbs-conflict-codec.lisp fns=7 thms=0 reached=7
RI-BOOK books/bp-fnbs-forward-codec.lisp fns=14 thms=0 reached=14
RI-BOOK books/bp-forward-attempt.lisp fns=39 thms=0 reached=39
RI-BOOK books/bp-forward-image.lisp fns=4 thms=0 reached=4
RI-BOOK books/bp-node-dispatch.lisp fns=4 thms=0 reached=4
RI-BOOK books/bp-fnbs-dispatch-codec.lisp fns=6 thms=0 reached=6
RI-BOOK books/bp-fnbs-deletion-codec.lisp fns=4 thms=0 reached=4
RI-BOOK books/bp-report-deletion.lisp fns=11 thms=5 reached=11
RI-BOOK books/bp-status-report.lisp fns=26 thms=12 reached=24
RI-BOOK books/bp-fnbs-delivery-replay.lisp fns=4 thms=1 reached=0
RI-BOOK books/bp-fnbs-replay.lisp fns=6 thms=1 reached=2
RI-BOOK books/bp-node-fragment-replacement.lisp fns=5 thms=1 reached=5
RI-BOOK books/bp-fnbs-family-codec.lisp fns=13 thms=0 reached=13
RI-BOOK books/bp-node-fragment-expiry.lisp fns=2 thms=1 reached=2
RI-BOOK books/bp-app-handoff-time.lisp fns=5 thms=3 reached=2
RI-BOOK books/bp-app-handoff.lisp fns=31 thms=7 reached=19
RI-BOOK books/bp-session-admission.lisp fns=32 thms=11 reached=22
RI-BOOK books/bp-node-fragment-plan.lisp fns=3 thms=1 reached=3
RI-BOOK books/bp-node-fragment-family.lisp fns=9 thms=9 reached=9
RI-BOOK books/bp-fragment-fast.lisp fns=6 thms=13 reached=0
RI-BOOK books/bp-receive-evidence.lisp fns=25 thms=4 reached=24
RI-BOOK books/bp-fnbs-delivery-publication.lisp fns=5 thms=1 reached=5
RI-BOOK books/bp-fnbs-delivery-codec.lisp fns=4 thms=1 reached=4
RI-BOOK books/bp-fnbs-publication.lisp fns=5 thms=1 reached=5
RI-BOOK books/bp-fnbs-byte-publisher.lisp fns=10 thms=0 reached=0
RI-BOOK books/bp-fnbs-inspect.lisp fns=3 thms=0 reached=3
RI-BOOK books/bp-fnbs-codec.lisp fns=14 thms=1 reached=14
RI-BOOK books/bp-node-machine-codec.lisp fns=35 thms=1 reached=35
RI-BOOK books/bp-node-foundation.lisp fns=65 thms=18 reached=58
RI-BOOK books/bp-signed-receipt.lisp fns=11 thms=2 reached=11
RI-BOOK books/bp-fragment-send.lisp fns=17 thms=94 reached=10
RI-BOOK books/bp-fragment-sweep.lisp fns=19 thms=34 reached=13
RI-BOOK books/bp-fragment-invariants.lisp fns=0 thms=51 reached=0
RI-BOOK books/bp-fragment.lisp fns=36 thms=6 reached=9
RI-BOOK books/bp-contact-service.lisp fns=5 thms=3 reached=5
RI-BOOK books/bp-node-machine.lisp fns=95 thms=70 reached=89
RI-BOOK books/bp-authored-wire.lisp fns=10 thms=1 reached=9
RI-BOOK books/bp-node-records.lisp fns=13 thms=4 reached=13
RI-BOOK books/bp-node.lisp fns=32 thms=18 reached=30
RI-BOOK books/bp-bundle-invariants.lisp fns=0 thms=22 reached=0
RI-BOOK books/bp-bundle.lisp fns=48 thms=35 reached=43
RI-BOOK books/bp-primary-invariants.lisp fns=0 thms=34 reached=0
RI-BOOK books/bp-primary.lisp fns=75 thms=15 reached=68
RI-BOOK books/bp-primary-cbor.lisp fns=15 thms=79 reached=12
RI-BOOK books/tcpcl-spool.lisp fns=18 thms=2 reached=10
RI-BOOK books/app-journal.lisp fns=23 thms=3 reached=23
RI-BOOK books/bp-request-plan.lisp fns=17 thms=7 reached=10
RI-BOOK books/bp-workflow-constructors.lisp fns=6 thms=4 reached=6
RI-BOOK books/bp-ion-workflow.lisp fns=17 thms=2 reached=16
RI-BOOK books/bp-release.lisp fns=37 thms=0 reached=33
RI-BOOK books/assumptions.lisp fns=13 thms=17 reached=0
RI-BOOK books/bp-ion-observation.lisp fns=9 thms=1 reached=9
RI-BOOK books/bp-outbound.lisp fns=11 thms=10 reached=7
RI-BOOK books/bp-workflow-records.lisp fns=16 thms=0 reached=13
RI-BOOK books/bp-native-app-fast.lisp fns=19 thms=32 reached=18
RI-BOOK books/bp-native-app.lisp fns=44 thms=6 reached=37
RI-BOOK books/bp-receipt-records.lisp fns=10 thms=0 reached=8
RI-BOOK books/bp-receipt.lisp fns=50 thms=35 reached=49
RI-BOOK books/bp-ingress.lisp fns=45 thms=23 reached=6
RI-BOOK books/bp-adu.lisp fns=41 thms=21 reached=40
RI-BOOK books/peer-invite.lisp fns=76 thms=50 reached=72
RI-BOOK books/native-hybrid-control.lisp fns=17 thms=5 reached=17
RI-BOOK books/control-evidence.lisp fns=27 thms=15 reached=27
RI-BOOK books/native-control-reason.lisp fns=12 thms=8 reached=12
RI-BOOK books/native-live-status.lisp fns=50 thms=16 reached=47
